x,y
1,11.34490075
1.282051282,11.40801354
1.564102564,6.424605205
1.846153846,12.36253214
2.128205128,6.912111705
2.41025641,13.43947575
2.692307692,11.34790379
2.974358974,16.8223121
3.256410256,14.37168319
3.538461538,7.681141116
3.820512821,5.028481319
4.102564103,15.05914697
4.384615385,17.56609994
4.666666667,13.66265838
4.948717949,12.98262433
5.230769231,19.21169128
5.512820513,24.62902142
5.794871795,13.08747555
6.076923077,22.82791484
6.358974359,21.70838902
6.641025641,18.41956084
6.923076923,21.9429992
7.205128205,23.26057718
7.487179487,18.56911679
7.769230769,12.74097367
8.051282051,24.56473634
8.333333333,16.36542517
8.615384615,15.60915498
8.897435897,27.15813407
9.179487179,17.40903988
9.461538462,16.37990381
9.743589744,23.36982701
10.02564103,24.02909715
10.30769231,15.24792038
10.58974359,23.77235804
10.87179487,22.69880073
11.15384615,11.08705011
11.43589744,14.81597573
11.71794872,16.56147609
12,9.412895272
