x,y
1,12.03556378
1.282051282,12.0890241
1.564102564,6.342821696
1.846153846,13.23504895
2.128205128,7.004703314
2.41025641,14.63266981
2.692307692,12.33590419
2.974358974,18.80313801
3.256410256,16.14688502
3.538461538,8.622359972
3.820512821,5.787937698
4.102564103,17.6265161
4.384615385,20.80501734
4.666666667,16.60899051
4.948717949,16.16259202
5.230769231,23.72169412
5.512820513,30.37104122
5.794871795,17.465523
6.076923077,29.16188245
6.358974359,28.34579228
6.641025641,25.05236546
6.923076923,29.6526244
7.205128205,31.73333313
7.487179487,26.90295996
7.769230769,20.78761657
8.051282051,35.08249624
8.333333333,26.28427971
8.615384615,26.10810454
8.897435897,40.1683653
9.179487179,29.66328731
9.461538462,29.25470759
9.743589744,38.13329787
10.02564103,39.7294376
10.30769231,30.45224614
10.58974359,41.18541493
10.87179487,40.86333169
11.15384615,28.40034891
11.43589744,33.67881118
11.71794872,36.69456918
12,29.46788479
