x,y
1,31.39942072
1.282051282,30.64398775
1.564102564,21.77981341
1.846153846,31.29683238
2.128205128,22.40788242
2.41025641,32.44914713
2.692307692,28.34067291
2.974358974,39.15841714
3.256410256,33.21768548
3.538461538,24.34118615
3.820512821,22.73974021
4.102564103,34.08917295
4.384615385,38.82806441
4.666666667,32.16946746
4.948717949,31.57781987
5.230769231,42.07786984
5.512820513,57.47553367
5.794871795,32.888892
6.076923077,50.95354661
6.358974359,47.96976084
6.641025641,41.42246654
6.923076923,48.85233094
7.205128205,52.39341776
7.487179487,42.9764049
7.769230769,36.6316968
8.051282051,56.8705166
8.333333333,41.69797024
8.615384615,41.5219107
8.897435897,66.50148644
9.179487179,45.14979724
9.461538462,44.65715095
9.743589744,57.35340965
10.02564103,59.8038552
10.30769231,45.92156099
10.58974359,60.97896972
10.87179487,59.42311882
11.15384615,45.0932261
11.43589744,49.16582763
11.71794872,52.12323344
12,46.81415655
