"Population","Values"
"A",4.14420528249787
"A",5.34242665844959
"A",7.89462265391299
"A",5.86021050454184
"A",7.42824939236521
"A",7.23878061363729
"A",6.9287719274481
"A",6.41172604611148
"A",14.6945785511983
"A",9.42995424484755
"A",9.47522467589778
"A",2.35130692314816
"A",8.35091848866785
"A",8.75460865467314
"A",13.7342720874952
"A",8.35454753468417
"A",9.92239575988534
"A",12.9868030344391
"A",8.067947287359
"A",9.48577491975526
"A",10.0137754687002
"A",5.62852158318012
"A",13.5234078762193
"A",5.24609305358599
"A",7.35008748007153
"A",5.04170386567429
"A",17.4053409818089
"A",12.5492935684369
"A",10.400600730259
"A",12.6753556508929
"A",12.1932794437254
"A",12.8376625292832
"A",21.202286274918
"A",6.88559240717502
"A",14.0283949853381
"A",6.07629536079859
"A",13.3474642107073
"A",13.1552957433918
"A",8.72632907481245
"A",2.55112134718392
"A",11.3867177120979
"A",14.7546058463029
"A",8.61387815756738
"A",13.0087887077712
"A",9.08292456435568
"A",10.6233913185651
"A",3.49536665982086
"A",9.85249765129845
"A",21.5217661729032
"A",8.1256480716878
"A",6.26863331782213
"A",10.6690429541201
"A",-0.617346374143031
"A",10.3374721907379
"A",7.57401686226137
"A",10.3172881774496
"A",8.51936726989509
"A",3.51819045759548
"A",2.82971961620755
"A",11.1095118983161
"A",7.86468178299869
"A",11.2091091114353
"A",5.81235018609639
"A",7.19237721944588
"A",14.6070861157081
"A",5.16098575011091
"A",8.79984355657004
"A",13.366761374923
"A",13.1275190258083
"A",8.07230319020187
"A",8.605974518017
"A",4.38258761364366
"A",10.8461665335363
"A",13.3991688000857
"A",5.04967946062167
"A",9.95631122839368
"A",9.72893318074438
"A",9.34635979227223
"A",8.66089862659818
"A",10.0707315550458
"A",7.99760058301242
"A",10.6149266417871
"A",3.75631972833851
"A",14.5831927622786
"A",10.2556182329714
"A",6.98564703363239
"A",11.2163304144139
"A",8.06337628535274
"A",9.43053553945264
"A",8.89222351114768
"A",9.24745196392663
"A",6.89650856801704
"A",9.82469081174842
"A",6.73331274305468
"A",8.92550618397528
"A",8.88183624313964
"A",5.93444998400701
"A",4.37397086546792
"A",11.7691976500345
"A",9.48887299814987
"A",8.20988820097356
"A",7.59998472265424
"A",15.1315206819014
"A",9.91687317115708
"A",9.49119599736843
"A",6.19774841045703
"A",3.83483570220014
"A",8.04464967210613
"A",8.82846890768338
"A",12.9188699119465
"A",-0.0184120102364442
"A",7.65554660166077
"A",12.0576436849781
"A",10.5065721625639
"A",7.81685810787246
"A",12.2718063735956
"A",13.2753130863345
"A",7.19843018405048
"A",11.2339917100998
"A",14.7302258684641
"A",3.88166363281574
"A",5.8392373293137
"A",12.1949756968965
"A",14.8493330298019
"A",13.5448036584296
"A",10.3829112861785
"A",9.82646277411439
"A",6.16550193227042
"A",7.34154649807717
"A",9.26721874601366
"A",8.96025747023989
"A",3.20266895150313
"A",4.17351473742337
"A",8.60447719044992
"A",14.2261873285148
"A",6.46427633185892
"A",7.25767805599934
"A",10.4990197153314
"A",4.49637655291414
"A",11.413787894682
"A",12.8738663707892
"A",18.1425896853404
"A",14.1624305864599
"A",7.7898898107442
"A",8.20239139127463
"A",14.2587010485245
"A",13.0790241800784
"A",9.11384856544632
"A",5.33976869645468
"A",9.84767317937568
"A",13.6450204834134
