"","PlantDiv","InsectDiv"
"1",2.88475646214491,3.77683131680195
"2",4.33538641856594,2.89311472690734
"3",3.19508571116652,1.82131498441888
"4",4.13540599511507,4.46348239210162
"5",3.01614195654513,2.80303034812027
"6",1.29131538805458,1.53029893255899
"7",5.18310317103974,3.42201554555986
"8",4.60557485532198,3.83920981269407
"9",1.70169222666608,0.12800847762058
"10",5.35381318214331,1.14054066562494
"11",5.02040292497196,3.562164167534
"12",4.44337048139041,3.50953233288405
"13",3.17672998937398,2.60356746503135
"14",6.65627584859277,4.00843079669057
"15",5.37881213903132,4.18182556544185
"16",4.56465482717245,2.2649857658295
"17",4.50750124419543,2.67479266469036
"18",2.27801767849332,1.74750307988724
"19",3.37781119009952,1.74273770631053
"20",2.94519856786991,3.40015137053175
